row_id,x_s,y_m,sigma_y_m,inverse_variance_weight
row-0,0,0.9971254586831396,0.04,625
row-1,0.06666666666666667,1.071156352276962,0.052000000000000005,369.8224852071005
row-2,0.13333333333333333,1.309048580546032,0.064,244.140625
row-3,0.2,1.483703804399623,0.076,173.13019390581718
row-4,0.26666666666666666,1.714607528702347,0.088,129.1322314049587
row-5,0.3333333333333333,1.635121794967926,0.1,99.99999999999999
row-6,0.4,1.8311299257275837,0.11199999999999999,79.71938775510205
row-7,0.4666666666666667,2.162860976111288,0.124,65.03642039542144
row-8,0.5333333333333333,2.2118124900342746,0.136,54.06574394463667
row-9,0.6,2.532460570617986,0.148,45.65376186997809
row-10,0.6666666666666666,2.443860901876741,0.16,39.0625
row-11,0.7333333333333333,2.697331301893305,0.172,33.802055164954034
row-12,0.8,2.822698516330619,0.184,29.53686200378072
row-13,0.8666666666666667,2.6300073854340638,0.196,26.03082049146189
row-14,0.9333333333333333,2.8283933059370425,0.208,23.11390532544379
row-15,1,2.880762677453927,0.22,20.66115702479339
row-16,1.0666666666666667,3.150088466636434,0.232,18.579072532699165
row-17,1.1333333333333333,3.2331872795123475,0.244,16.79656006449879
row-18,1.2,3.5831637428030856,0.256,15.2587890625
row-19,1.2666666666666666,2.989116395751866,0.26799999999999996,13.922922699933173
row-20,1.3333333333333333,3.5494251449408685,0.27999999999999997,12.755102040816329
row-21,1.4,3.3412427891651246,0.292,11.728279226871834
row-22,1.4666666666666666,4.3046822751543905,0.30399999999999994,10.820637119113579
row-23,1.5333333333333334,4.505734095260903,0.316,10.0144207659029
row-24,1.6,3.4605499381040223,0.32799999999999996,9.295062462819752
row-25,1.6666666666666667,3.942483603979641,0.33999999999999997,8.65051903114187
row-26,1.7333333333333334,4.6957459616366055,0.352,8.070764462809919
row-27,1.8,4.662390277441703,0.364,7.5473976572877675
row-28,1.8666666666666667,4.6866999494704675,0.37599999999999995,7.0733363512901795
row-29,1.9333333333333333,4.9789516670940825,0.38799999999999996,6.642576256775429
row-30,2,5.259059730384712,0.39999999999999997,6.250000000000001
