# Synthetic classroom data: exponential-decay. Choose the corresponding model and inspect the residuals.
Time (s),Signal (V)
0.0,3.395010482555774
0.1,3.270314621830399
0.2,3.1352328020978706
0.30000000000000004,3.038661137917669
0.4,2.9109704987953515
0.5,2.747593006688577
0.6000000000000001,2.6955441976333043
0.7000000000000001,2.5675345961514267
0.8,2.4768047482583686
0.9,2.373458062458225
1.0,2.3060922336717558
1.1,2.1820761739974475
1.2000000000000002,2.1216002176880693
1.3,2.100286330200618
1.4000000000000001,2.0051060263214024
1.5,1.9082797638303959
1.6,1.8510547702420752
1.7000000000000002,1.797207310075968
1.8,1.7509687689540416
1.9000000000000001,1.6742474626875559
2.0,1.6008032986461795
2.1,1.5224758290308777
2.2,1.497106604441528
2.3000000000000003,1.4436523763836617
2.4000000000000004,1.4251796616543473
2.5,1.3530202934951496
2.6,1.3207776359537402
2.7,1.231433452424426
2.8000000000000003,1.2381676291771608
2.9000000000000004,1.228108829856523
3.0,1.1858654258207246
3.1,1.0840090715887412
3.2,1.0816670284248349
3.3000000000000003,1.0564917648363017
3.4000000000000004,1.0752567719051012
3.5,0.9977159332711149
3.6,0.9532138612209403
3.7,0.9802728922883269
3.8000000000000003,0.9425605874890588
3.9000000000000004,0.9325679200654833
4.0,0.8813085174791895
4.1000000000000005,0.794513199109678
4.2,0.8047130041753485
4.3,0.8469762994250338
4.4,0.7958671701443693
4.5,0.7913911945909442
4.6000000000000005,0.7932272057713892
4.7,0.8262980402558159
4.800000000000001,0.7855576792793895
4.9,0.6936032481836375
5.0,0.6888191486100288
5.1000000000000005,0.7142284848147413
5.2,0.7357582513596089
5.300000000000001,0.6902055009324778
5.4,0.6322638304440555
5.5,0.5927883905914657
5.6000000000000005,0.562400690456657
5.7,0.5893095390942547
5.800000000000001,0.5602319480795198
5.9,0.6097941458793349
6.0,0.6159666810024782
6.1000000000000005,0.574892025182126
6.2,0.5225758341764892
6.300000000000001,0.5733125596661978
6.4,0.552152226137059
6.5,0.5589120021429608
6.6000000000000005,0.541736990103926
6.7,0.5127144047057111
6.800000000000001,0.47175488254718256
6.9,0.4998117199427775
7.0,0.4906792075275828
7.1000000000000005,0.539361736472339
7.2,0.5631876611579647
7.300000000000001,0.5564472379966285
7.4,0.5034992383929542
7.5,0.5324358509566615
7.6000000000000005,0.5063358794749178
7.7,0.4971424259866843
7.800000000000001,0.5487707167276153
7.9,0.3890250242382989
8.0,0.4717967956301064
