# Synthetic classroom data: gaussian. Choose the corresponding model and inspect the residuals.
Position (mm),Signal (V)
-4.0,0.19653142330254988
-3.9,0.23005096851640455
-3.8,0.18906462231255103
-3.7,0.15408195592943602
-3.6,0.18828901323374017
-3.5,0.2012606954105522
-3.4,0.19209899863596458
-3.3,0.18591370246380376
-3.2,0.237433344492563
-3.1,0.2136776962024587
-3.0,0.23844756584216426
-2.9,0.1716621450157553
-2.8,0.22242321455519276
-2.7,0.2485688977258082
-2.5999999999999996,0.20296103014539316
-2.5,0.20648561861892026
-2.4,0.2170282601054926
-2.3,0.2633149245701122
-2.2,0.21571216918701502
-2.0999999999999996,0.21686709459569722
-2.0,0.23863352447004477
-1.9,0.272648330443833
-1.7999999999999998,0.26198648493773685
-1.6999999999999997,0.26552894027572027
-1.5999999999999996,0.3475266487673813
-1.5,0.38413628415773743
-1.4,0.45405400488008146
-1.2999999999999998,0.46380303070560697
-1.1999999999999997,0.6142235900767692
-1.0999999999999996,0.7235231310277753
-1.0,0.8767363648780991
-0.8999999999999999,1.0072293139398858
-0.7999999999999998,1.168633138168367
-0.6999999999999997,1.3746632731090551
-0.5999999999999996,1.5605524057814864
-0.5,1.7552105051312152
-0.3999999999999999,2.053545287060272
-0.2999999999999998,2.2299153340193905
-0.19999999999999973,2.4262221448709673
-0.09999999999999964,2.6400616309008846
0.0,2.8460483684112448
0.10000000000000053,3.0117554617862425
0.20000000000000018,3.161468270460445
0.2999999999999998,3.1141166903043094
0.40000000000000036,3.213750180332307
0.5,3.1686691549833257
0.6000000000000005,3.0888379403022515
0.7000000000000002,2.9773484566007564
0.8000000000000007,2.8640343601763814
0.9000000000000004,2.71677513796327
1.0,2.4483486609376683
1.1000000000000005,2.2542645063886155
1.2000000000000002,2.003699312098494
1.3000000000000007,1.8040901302938352
1.4000000000000004,1.5735271883001543
1.5,1.3426059899241292
1.6000000000000005,1.1493341488130389
1.7000000000000002,0.9606388538913484
1.8000000000000007,0.8047965034392872
1.9000000000000004,0.7469991845519628
2.0,0.6409319941577071
2.1000000000000005,0.5035788332479261
2.2,0.4846844643242605
2.3000000000000007,0.3931755375873423
2.4000000000000004,0.3865848055029609
2.5,0.26653684686969414
2.6000000000000005,0.30942096083374526
2.7,0.18771067796088095
2.8000000000000007,0.15703911475873567
2.9000000000000004,0.24452245286157878
3.0,0.21081889611671753
3.1000000000000005,0.16794023013655393
3.2,0.19152012679086472
3.3000000000000007,0.217946368858851
3.4000000000000004,0.1944525508165623
3.5,0.1968806084004462
3.6000000000000005,0.18923162403965155
3.7,0.15907594973834674
3.8000000000000007,0.28879085176141567
3.9000000000000004,0.15196529829537508
4.0,0.20820819835288173
