# Synthetic classroom data: power-law-free. Choose the corresponding model and inspect the residuals.
x,Signal (V)
0.25,0.4115968835481394
0.296875,0.48024223797261995
0.34375,0.4670849755618247
0.390625,0.5436315355292701
0.4375,0.5750766855379871
0.484375,0.6392506213585327
0.53125,0.7042430759997315
0.578125,0.7778455605710571
0.625,0.8018457321662875
0.671875,0.9123292711565874
0.71875,0.9610970023436475
0.765625,1.068027124244595
0.8125,1.1366580222477898
0.859375,1.1985573652227615
0.90625,1.3365274130135638
0.953125,1.4042814240341477
1.0,1.4932374779919821
1.046875,1.5803069703889592
1.09375,1.7439938185228963
1.140625,1.832021189457316
1.1875,1.9444532896948143
1.234375,2.006048534529416
1.28125,2.107665772823476
1.328125,2.2701316321738596
1.375,2.360854160290668
1.421875,2.492830485568725
1.46875,2.612465844673305
1.515625,2.7416963105489134
1.5625,2.8773407665836146
1.609375,2.9898923784259845
1.65625,3.1013039338419413
1.703125,3.2369161969411424
1.75,3.3615330619001598
1.796875,3.584556849274166
1.84375,3.7114479574401553
1.890625,3.8588721873294323
1.9375,4.020752949591776
1.984375,4.165714273605693
2.03125,4.283242869499999
2.078125,4.474884264267727
2.125,4.65202826759011
2.171875,4.829897250390609
2.21875,4.994810999567625
2.265625,5.075330975150548
2.3125,5.255886338934748
2.359375,5.486311604483299
2.40625,5.664560635732068
2.453125,5.81321038156452
2.5,5.997398391613333
2.546875,6.174391416638586
2.59375,6.4101241035841925
2.640625,6.54360448790294
2.6875,6.734785325827213
2.734375,6.895686299403238
2.78125,7.099648178473374
2.828125,7.32319743851132
2.875,7.560593964016651
2.921875,7.736235009866952
2.96875,7.917943386677335
3.015625,8.106369636613186
3.0625,8.365383345949809
3.109375,8.539736512089357
3.15625,8.748890591538014
3.203125,8.958153799610859
3.25,9.131799619890387
3.296875,9.331746805947246
3.34375,9.634036627013995
3.390625,9.887534973182818
3.4375,10.093184839811075
3.484375,10.286849840933558
3.53125,10.57726035266059
3.578125,10.842175295227849
3.625,10.970108969806937
3.671875,11.249004292296958
3.71875,11.495477805728742
3.765625,11.749590193537669
3.8125,11.954254707843802
3.859375,12.21953720706637
3.90625,12.550222886579787
3.953125,12.716975911097078
4.0,13.010284513257478
