# Synthetic classroom data: lorentzian. Choose the corresponding model and inspect the residuals.
# Independent Gaussian y uncertainties: sigma_i = 0.02*(1+i/81) V, i=0..80. Assign the third column as Y uncertainty when importing.
Frequency offset (Hz),Signal (V),Y uncertainty (V)
-4.0,0.2716486533170582,0.02
-3.9,0.2229913375018409,0.020246913580246915
-3.8,0.23824673182518472,0.02049382716049383
-3.7,0.2890876896479259,0.02074074074074074
-3.6,0.272199773019701,0.020987654320987655
-3.5,0.26835229264497484,0.02123456790123457
-3.4,0.279604110215546,0.02148148148148148
-3.3,0.26605993139590745,0.021728395061728394
-3.2,0.2830464316677634,0.02197530864197531
-3.1,0.28533776816768897,0.022222222222222223
-3.0,0.28779264846204433,0.022469135802469137
-2.9,0.28905399887000843,0.02271604938271605
-2.8,0.29480034717110615,0.022962962962962963
-2.7,0.2751142928175554,0.023209876543209877
-2.5999999999999996,0.31520510093869003,0.023456790123456788
-2.5,0.31940978204460296,0.023703703703703703
-2.4,0.37157253638509613,0.023950617283950617
-2.3,0.3751122910707122,0.02419753086419753
-2.2,0.29550379821579004,0.024444444444444446
-2.0999999999999996,0.38222778140917757,0.024691358024691357
-2.0,0.37549119426384453,0.02493827160493827
-1.9,0.40068624330185093,0.025185185185185185
-1.7999999999999998,0.41310551353579456,0.025432098765432096
-1.6999999999999997,0.44488132194016294,0.02567901234567901
-1.5999999999999996,0.48787131211693313,0.025925925925925925
-1.5,0.44755864953139285,0.02617283950617284
-1.4,0.4943836613386178,0.026419753086419754
-1.2999999999999998,0.5247116067651213,0.026666666666666665
-1.1999999999999997,0.5847528186010734,0.02691358024691358
-1.0999999999999996,0.6117053894504361,0.027160493827160494
-1.0,0.6508299649088883,0.027407407407407405
-0.8999999999999999,0.7230792581259482,0.02765432098765432
-0.7999999999999998,0.8064393749380745,0.027901234567901233
-0.6999999999999997,0.9055849119771223,0.028148148148148148
-0.5999999999999996,1.0363842672673775,0.028395061728395066
-0.5,1.140517144424251,0.028641975308641973
-0.3999999999999999,1.3067114611633395,0.028888888888888888
-0.2999999999999998,1.4489414218618903,0.029135802469135802
-0.19999999999999973,1.6858141171870302,0.029382716049382713
-0.09999999999999964,1.9801662922152672,0.029629629629629627
0.0,2.2079881020618175,0.02987654320987654
0.10000000000000053,2.5843654337489403,0.03012345679012346
0.20000000000000018,2.861355636666716,0.030370370370370374
0.2999999999999998,3.136765491150334,0.03061728395061729
0.40000000000000036,3.215089708574578,0.0308641975308642
0.5,3.1168871227197754,0.031111111111111114
0.6000000000000005,2.928172532606051,0.031358024691358025
0.7000000000000002,2.6313359933277662,0.03160493827160494
0.8000000000000007,2.283792266040186,0.03185185185185185
0.9000000000000004,1.9511516346482156,0.03209876543209877
1.0,1.6764962125866956,0.03234567901234568
1.1000000000000005,1.4248058120303921,0.0325925925925926
1.2000000000000002,1.2545648692240534,0.032839506172839504
1.3000000000000007,1.1259649358413297,0.03308641975308642
1.4000000000000004,1.0341268712320475,0.03333333333333333
1.5,0.8957791915330978,0.03358024691358025
1.6000000000000005,0.8315126840910688,0.03382716049382716
1.7000000000000002,0.7148414772192032,0.034074074074074076
1.8000000000000007,0.6578652931531291,0.03432098765432099
1.9000000000000004,0.6005343250266042,0.034567901234567905
2.0,0.5334045584895926,0.03481481481481481
2.1000000000000005,0.5607191691944527,0.03506172839506173
2.2,0.5113118002619191,0.03530864197530864
2.3000000000000007,0.4691322019390938,0.035555555555555556
2.4000000000000004,0.5053139939470297,0.03580246913580247
2.5,0.38349020911941034,0.036049382716049384
2.6000000000000005,0.39271835196057525,0.0362962962962963
2.7,0.3847847059004622,0.03654320987654321
2.8000000000000007,0.34236149575983904,0.03679012345679012
2.9000000000000004,0.3829510904102494,0.037037037037037035
3.0,0.41769576628302546,0.03728395061728395
3.1000000000000005,0.3257427134704347,0.037530864197530864
3.2,0.3564108724658483,0.03777777777777778
3.3000000000000007,0.34167695648764085,0.03802469135802469
3.4000000000000004,0.2539694464917209,0.03827160493827161
3.5,0.25846636355460173,0.03851851851851852
3.6000000000000005,0.2659147229614185,0.03876543209876543
3.7,0.30266704686050666,0.03901234567901234
3.8000000000000007,0.3170871766067717,0.03925925925925926
3.9000000000000004,0.3027634283849227,0.03950617283950617
4.0,0.2480002854849243,0.039753086419753086
