# Synthetic classroom data. Fit height versus time with a quadratic. Interpret the quadratic coefficient.
Time (s),Height (m)
0,1.9408602137427329
0.03333333333333333,2.31662176121672
0.06666666666666667,2.627778649940635
0.1,2.928436860633279
0.13333333333333333,3.223992729657399
0.16666666666666666,3.4806225178200165
0.2,3.797068017270215
0.23333333333333334,4.050746802570037
0.26666666666666666,4.2703795636883575
0.3,4.559867471304436
0.3333333333333333,4.781139945963462
0.36666666666666664,4.992675539531019
0.4,5.219006396462589
0.43333333333333335,5.4252749842111525
0.4666666666666667,5.616228455967469
0.5,5.745814479793355
0.5333333333333333,5.932600768206694
0.5666666666666667,6.071013010807742
0.6,6.231631143935349
0.6333333333333333,6.39577179875911
0.6666666666666666,6.477945159554454
0.7,6.591035395184088
0.7333333333333333,6.685240911949104
0.7666666666666667,6.795200259333438
0.8,6.815662334963707
0.8333333333333334,6.9224520808740175
0.8666666666666667,6.975751884510116
0.9,7.000118383333728
0.9333333333333333,7.051304347434139
0.9666666666666667,7.095422210049965
1,7.122855360828646
1.0333333333333334,7.121116616664014
1.0666666666666667,7.058275355779679
1.1,7.0894940782800155
1.1333333333333333,7.026203663944002
1.1666666666666667,6.984775086042332
1.2,6.92214768161228
1.2333333333333334,6.870250930561328
1.2666666666666666,6.815099899748967
1.3,6.7087085193392735
1.3333333333333333,6.595856849308439
1.3666666666666667,6.506106896371478
1.4,6.417471045915452
1.4333333333333333,6.221594198161353
1.4666666666666666,6.120644315441678
1.5,5.978698195513364
1.5333333333333334,5.804015577087071
1.5666666666666667,5.641170287786991
1.6,5.456714447292244
1.6333333333333333,5.256587462981534
1.6666666666666667,5.0571643503577
1.7,4.818043948134716
1.7333333333333334,4.619470185546251
1.7666666666666666,4.33155406375544
1.8,4.105861912791016
1.8333333333333333,3.8509370716888265
1.8666666666666667,3.600302910628314
1.9,3.3091100147999035
1.9333333333333333,3.011894604928072
1.9666666666666666,2.6620949917136096
2,2.388799423567704
